"ID";"Designator";"Fotspor";"Mengde";"Betegnelse";"Leverandør og ref";
1;"J7,J6,J5,J4";"MountingHole_3.2mm_M3";4;"Conn_01x01_Pin";;;
2;"J2,J3";"N-conn slanted";2;"Conn_Coaxial";;;
3;"L10";"L_Axial_L14.6-hand";1;"160nH";;;
4;"C6";"C_2220_5750Metric";1;"91pF";;;
5;"C4,C2";"C_2220_5750Metric";2;"24pF";;;
6;"L2,L3";"L_Axial_L14.6-hand";2;"62nH";;;
7;"L4";"L_Axial_L14.6-hand";1;"56nH";;;
8;"L6";"L_Axial_L14.6-hand";1;"220nH";;;
9;"L7,L9,L8";"L_Axial_L14.6-hand";3;"270nH";;;
10;"C1";"C_2220_5750Metric";1;"43pF";;;
11;"C7,C9";"C_2220_5750Metric";2;"110pF";;;
12;"L1";"L_Axial_L14.6-hand";1;"75nH";;;
13;"J1";"UHF slanted";1;"Conn_Coaxial";;;
14;"C5";"C_2220_5750Metric";1;"30pF";;;
15;"C10";"C_2220_5750Metric";1;"62pF";;;
16;"C8";"C_2220_5750Metric";1;"110ppF";;;
17;"L5";"L_Axial_L14.6-hand";1;"100nH";;;
18;"C3";"C_2220_5750Metric";1;"24F";;;
